Experiment,mAP50,mAP50-95,Lesao Recall,Perda Recall,Precision,Lesao TP,Lesao->Perda,Lesao->Bg
yolo11n_896_nano,0.17767377925816696,0.06651951808040277,0.29948602567972427,0.2826855123674912,0.2607901272196072,8,0,22
yolo11n_1024_nano,0.2355988105302345,0.0905791763565273,0.35714285714285715,0.4452296819787986,0.2878973920876706,7,0,19
yolo11n_1280_nano,0.25842885826801254,0.10619411511299856,0.32142857142857145,0.4911660777385159,0.2690944227246376,9,0,14
yolo11s_896_small,0.24727579211026243,0.09870887368128353,0.3392857142857143,0.5034861915918991,0.2436615798233509,10,3,37
yolo11s_1024_small,0.23252367052286327,0.09469732706671355,0.3220340479920569,0.392226148409894,0.2909738410501975,15,0,34
yolo11s_1280_small,0.24095917642503803,0.09698195627387969,0.23214285714285715,0.5701911961307119,0.2312536571013982,9,0,20
yolo11m_896_medium,0.21640403169426048,0.083106771790401,0.35714285714285715,0.4169611307420495,0.2517022131040264,11,0,26
yolo11m_1024_medium,0.24708452804695058,0.09695398551139085,0.2751974076782545,0.3992932862190813,0.2959234819440205,9,0,25
yolo11m_1280_medium,0.23061969653835468,0.09631412615826138,0.2444888338275656,0.38162544169611307,0.3195640600247045,9,0,27
